                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.62722,                 0.5112,                0.43546,                0.85496,                 0.9777,                0.99641,                0.98307,                0.92724,                0.97521,                0.99347,                0.98289,                0.68406,                0.36196,                 0.4809,                0.36288,                0.80257,               0.004852,               0.004852,               0.004852
                     54,                 0.6269,                0.43235,                0.42593,                0.85868,                0.97968,                0.99832,                0.98382,                0.91739,                0.97977,                0.99775,                0.98387,                0.69236,                0.40586,                0.53048,                 0.3731,                0.80222,               0.004753,               0.004753,               0.004753
                     55,                0.60897,                0.42009,                0.42443,                0.85634,                0.97922,                0.99887,                0.98284,                0.91171,                0.97674,                0.99617,                0.98262,                0.69328,                 0.4147,                0.53907,                0.38779,                0.80751,               0.004654,               0.004654,               0.004654
                     56,                 0.6673,                0.48084,                0.44184,                0.85398,                0.97941,                0.99865,                0.98237,                0.93883,                0.97689,                0.99595,                0.98221,                0.68982,                0.34752,                0.48633,                0.34874,                 0.8043,               0.004555,               0.004555,               0.004555
                     57,                0.62238,                0.47169,                0.42448,                0.85564,                0.97991,                0.99878,                0.98256,                0.93242,                0.97903,                0.99788,                0.98252,                0.68859,                0.37463,                 0.5403,                0.35368,                 0.8035,               0.004456,               0.004456,               0.004456
                     58,                  0.583,                0.44228,                 0.4177,                0.85386,                0.97991,                 0.9987,                0.98272,                0.92425,                0.97733,                0.99595,                0.98289,                0.69646,                0.34879,                0.50305,                0.34367,                0.80065,               0.004357,               0.004357,               0.004357
                     59,                0.65899,                0.50443,                0.44349,                0.85806,                0.98061,                0.99955,                 0.9802,                0.92901,                0.98017,                 0.9991,                0.98022,                0.70779,                0.40004,                0.46404,                 0.3842,                0.80262,               0.004258,               0.004258,               0.004258
                     60,                0.60605,                0.46818,                0.41673,                 0.8543,                0.97905,                0.99932,                0.97882,                0.93429,                0.97817,                0.99842,                0.97891,                0.69847,                0.37674,                0.48847,                0.37286,                0.80229,               0.004159,               0.004159,               0.004159
                     61,                0.60358,                0.48656,                0.40554,                0.85034,                0.98014,                0.99949,                0.97838,                0.93722,                0.97865,                0.99797,                0.97827,                0.71003,                0.33079,                0.46468,                0.34021,                0.80056,                0.00406,                0.00406,                0.00406
                     62,                0.61372,                0.46807,                0.41831,                0.84518,                0.98064,                0.99865,                0.97823,                0.92354,                0.97861,                0.99662,                0.97807,                0.67794,                0.40012,                0.53482,                0.36068,                0.80773,               0.003961,               0.003961,               0.003961
                     63,                 0.6383,                0.52414,                0.42789,                 0.8591,                0.98078,                0.99898,                0.97835,                0.93825,                0.97769,                0.99575,                0.97792,                0.69612,                 0.3269,                0.49518,                0.33507,                0.79974,               0.003862,               0.003862,               0.003862
                     64,                0.57231,                0.41436,                0.39916,                0.84301,                0.98076,                0.99955,                0.97803,                0.93478,                0.97944,                 0.9982,                0.97838,                0.70445,                 0.3399,                0.49604,                0.34766,                0.79841,               0.003763,               0.003763,               0.003763
                     65,                0.58199,                0.45006,                 0.3904,                0.84432,                0.97971,                 0.9994,                0.98027,                0.92893,                0.97816,                0.99783,                0.98024,                0.69099,                0.37544,                 0.5518,                0.35084,                0.80279,               0.003664,               0.003664,               0.003664
                     66,                0.58791,                0.46412,                0.39848,                0.84707,                0.98056,                  0.999,                0.98163,                0.92967,                0.97857,                0.99686,                0.98166,                0.69119,                0.37317,                0.52752,                0.35277,                 0.8038,               0.003565,               0.003565,               0.003565
                     67,                0.58613,                0.40618,                0.39111,                0.84594,                  0.981,                 0.9993,                0.98173,                0.94364,                0.97901,                0.99727,                0.98162,                0.69383,                0.32908,                0.51598,                0.33864,                0.79563,               0.003466,               0.003466,               0.003466
                     68,                0.55496,                0.37585,                 0.3897,                0.84442,                0.98122,                0.99925,                0.98181,                0.94255,                0.97879,                 0.9968,                0.98175,                0.69965,                 0.3392,                0.49566,                0.33699,                0.79551,               0.003367,               0.003367,               0.003367
                     69,                0.58167,                0.46103,                0.38879,                0.83699,                0.98014,                0.99935,                0.98258,                0.94882,                0.97859,                0.99744,                0.98241,                0.69952,                0.32472,                0.49157,                0.33573,                 0.7958,               0.003268,               0.003268,               0.003268
                     70,                0.57755,                0.47173,                0.39997,                  0.845,                0.98021,                0.99955,                0.98357,                0.94034,                0.97794,                0.99735,                0.98343,                 0.6873,                0.34226,                0.52557,                0.33206,                0.79605,               0.003169,               0.003169,               0.003169
                     71,                0.54812,                0.40552,                0.38972,                0.83558,                 0.9798,                 0.9991,                0.98297,                0.94635,                0.97835,                0.99654,                0.98299,                0.70254,                0.32749,                0.48976,                0.33377,                0.79417,                0.00307,                0.00307,                0.00307
                     72,                0.52419,                0.39946,                0.36429,                0.83393,                0.97951,                0.99932,                0.98363,                0.94607,                0.97709,                0.99685,                0.98358,                0.69905,                0.31388,                0.47968,                 0.3366,                0.79339,               0.002971,               0.002971,               0.002971
                     73,                0.52238,                0.40745,                0.37385,                0.83702,                0.97945,                0.99865,                0.98338,                0.93984,                0.97878,                0.99797,                0.98338,                0.70782,                0.35157,                0.48765,                0.33296,                0.79619,               0.002872,               0.002872,               0.002872
                     74,                0.54085,                0.40832,                0.37182,                0.84963,                0.98088,                 0.9991,                0.98208,                0.94855,                0.97829,                 0.9964,                0.98196,                 0.6972,                0.29944,                0.46555,                0.32535,                0.79382,               0.002773,               0.002773,               0.002773
                     75,                 0.5504,                0.43371,                0.38126,                0.84047,                0.98164,                0.99846,                0.98165,                 0.9448,                0.97987,                0.99666,                0.98146,                0.69461,                0.33525,                0.51345,                0.32894,                0.79429,               0.002674,               0.002674,               0.002674
                     76,                0.52329,                0.40408,                0.36266,                 0.8371,                0.98136,                0.99887,                0.98094,                0.93965,                0.97893,                 0.9964,                0.98075,                 0.7009,                0.35914,                0.48848,                0.34623,                0.79465,               0.002575,               0.002575,               0.002575
                     77,                0.54279,                0.47648,                0.36055,                0.83288,                0.98134,                0.99887,                0.98173,                 0.9469,                0.97892,                 0.9964,                0.98153,                0.70278,                 0.3194,                  0.486,                0.31997,                0.79322,               0.002476,               0.002476,               0.002476
                     78,                0.59703,                0.48663,                0.39584,                0.84567,                0.98159,                 0.9991,                0.98207,                0.94207,                0.98003,                0.99752,                0.98198,                0.70194,                0.34919,                0.50069,                0.32989,                 0.7923,               0.002377,               0.002377,               0.002377
                     79,                0.52497,                0.38704,                0.36173,                0.83831,                0.98143,                0.99886,                0.98211,                0.94924,                0.98032,                0.99774,                0.98223,                0.71169,                0.31646,                0.50355,                0.31244,                 0.7891,               0.002278,               0.002278,               0.002278
